#### META INFO: real uav, ramp, 191206T1317+0100
MSG, 247420003, 0000: 00 00 00 00 00 00 00 00 00 00;
MSG, 247420091, 0010: 00 00 00 00 00 00 00 00 00 00;
MSG, 247420293, 0020: 00 00 00 00 00 00 00 00 00 00;
MSG, 247420620, 0030: 00 00 00 00 00 00 00 00 00 00;
MSG, 247420708, 0040: 00 00 00 00 00 00 00 00 00 00;
MSG, 247420934, 0050: 00 00 00 00 00 00 00 00 00 00;
MSG, 247421022, 0060: 00 00 00 00 00 00 00 80 80 7F;
MSG, 247421193, 0070: 7F 7F 7F 7F 7F 7F 80 81 82 84;
MSG, 247421504, 0080: 85 85 85 85 85 85 85 85 86 86;
MSG, 247421656, 0090: 85 87 88 89 89 89 00 89 8A 00;
MSG, 247421745, 0100: 8A 8B 8C 00 8B 00 8B 8C 8D 8D;
MSG, 247421989, 0110: 8D 00 00 8B 8B 8B 8B 00 89 89;
MSG, 247422217, 0120: 89 89 89 89 89 8D 8E 90 90 90;
MSG, 247422438, 0130: 8F 8F 8F 90 90 90 90 00 8F 8F;
MSG, 247422595, 0140: 8F 00 8E 8E 8E 8E 8E 96 96 91;
MSG, 247422684, 0150: 91 8F 92 8C 8A 8A 89 8E 8E 00;
MSG, 247422907, 0160: 8C 8C 8B 8B 00 8A 00 89 89 89;
MSG, 247422997, 0170: 88 88 89 89 89 89 88 88 88 88;
MSG, 247423170, 0180: 88 88 87 87 87 88 88 88 88 88;
MSG, 247423429, 0190: 88 88 88 88 88 88 88 88 88 89;
MSG, 247423518, 0200: 89 89 89 89 89 88 88 86 87 86;
MSG, 247423673, 0210: 86 86 87 88 89 89 8B 8E 8F 90;
MSG, 247423863, 0220: 93 94 95 00 98 9A 9D 9E A1 A2;
MSG, 247423988, 0230: A3 A4 A5 A6 00 A6 A8 A9 AA AA;
MSG, 247424077, 0240: AC AE AF B0 B1 B1 B1 B1 B2 B2;
MSG, 247424254, 0250: B2 B2 B2 B2 B2 B2 B1 B1 B1 B0;
MSG, 247424569, 0260: B1 B0 B0 B0 AF AF AF AF AF AF;
MSG, 247424719, 0270: AF AF AF AF AF AF AF AF AF AF;
MSG, 247424826, 0280: AF B0 B0 B0 B0 B0 B0 B0 B0 B0;
MSG, 247425042, 0290: B0 B0 B0 B0 B0 B0 AF AF AF AF;
MSG, 247425131, 0300: AF AF AF AF AE AF AF AF AF AF;
MSG, 247425301, 0310: AE AE AF AF AF AF AF AE AE 00;
MSG, 247425630, 0320: 00 00 00 00 00 00 00 00 00 00;
MSG, 247425719, 0330: 00 00 00 00 00 00 00 00 00 00;
MSG, 247425944, 0340: 00 00 00 00 00 00 00 00 00 00;
MSG, 247426112, 0350: 00 00 00 00 00 00 00 00 00 00;
MSG, 247426312, 0360: 00 00 00 00 00 00 00 00 00 00;
MSG, 247426423, 0370: 00 00 00 00 00 00 00 00 00 00;
